,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
918,4.0,1587.0,210.34,210.34,6348.0,841.34,1376.66,5506.66
919,3.0,1598.75,438.86,438.86,4796.25,1316.59,1159.89,3479.66
920,3.0,2218.0,0.0,1149.73,6654.0,3449.19,1068.27,3204.81
921,1.0,785.0,0.0,110.45,785.0,110.45,674.55,674.55
922,21.0,916.36,264.47,264.47,19243.56,5553.86,651.89,13689.7
923,2.0,345.0,345.81,345.81,690.0,691.62,-0.81,-1.62
924,2.0,787.5,0.0,90.71,1575.0,181.42,696.79,1393.58
925,1.0,154.31,62.95,62.95,154.31,62.95,91.36,91.36
926,1.0,120.0,48.2,48.2,120.0,48.2,71.8,71.8
927,2.0,1654.34,0.0,183.81,3308.68,367.61,1470.53,2941.07
928,3.0,2481.59,0.0,0.0,7444.77,0.0,2481.59,7444.77
929,4.0,1130.5,457.78,457.78,4522.0,1831.12,672.72,2690.88
930,1.0,1284.0,249.45,249.45,1284.0,249.45,1034.55,1034.55
931,1.0,1188.0,2754.67,2754.67,25258.15,2754.67,974.4,22503.48
932,1.0,668.0,210.24,210.24,668.0,210.24,457.76,457.76
933,1.0,758.5,0.0,120.77,758.5,120.77,637.73,637.73
934,3.0,525.0,10.82,10.82,1575.0,32.46,514.18,1542.54
