,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
4158,27308120,20240905174946,20372624,1.0,2.0,52.37226,4.85381,4.0,1.0,3.0,1.0,275.0,2.0,1125,2.0,1125.0,65.0,7.0,10,10,19.0,5.0,4.89,4.89,4.95,4.95,4.74,4.37,1.0,1.0,0.0,0.0
4159,675164184200811212,20240905174946,144788976,1.0,2.0,52.3630793,4.928684400000001,2.0,1.0,1.0,1.0,289.6,2.0,30,2.0,30.0,65.0,0.0,0,0,7.0,5.0,4.86,4.71,5.0,4.71,4.86,4.57,1.0,1.0,0.0,0.0
4160,948965459587696401,20240905174946,143098191,23.0,49.0,52.34633,4.8916417,4.0,1.0,2.0,1.0,289.6,3.0,8,3.0,8.0,65.0,0.0,0,0,7.0,5.0,5.0,4.86,5.0,5.0,5.0,5.0,1.5,1.0,0.0,0.0
4161,1199180234317020280,20240905174946,589352542,1.0,1.0,52.35465,4.89053,2.0,1.0,1.0,1.0,289.6,2.0,30,2.0,30.0,65.0,0.0,0,0,1.0,4.9,4.9,4.0,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
4162,1035376419998547751,20240905174946,21859584,2.0,2.0,52.3743439,4.8731532,2.0,1.0,1.0,1.0,239.0,2.0,365,2.0,365.0,65.0,16.0,71,71,7.0,5.0,4.86,5.0,5.0,5.0,5.0,4.86,1.0,1.0,0.0,0.0
4163,1170767634808591235,20240905174946,16368789,1.0,1.0,52.35597661944785,4.876501746475697,6.0,2.0,4.0,4.0,510.0,1.0,365,1.0,365.0,65.0,0.0,0,53,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
4164,1203825128133732938,20240905174946,570033041,2.0,4.0,52.3897939628828,4.912149637082351,2.0,1.0,1.0,1.0,289.6,1.0,365,1.0,365.0,65.0,7.0,7,7,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,2.0,0.0,2.0,0.0
4165,1006563023120789390,20240905174946,19625866,1.0,1.0,52.36354,4.93163,4.0,2.0,2.0,2.0,500.0,5.0,20,5.0,20.0,65.0,0.0,4,4,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
4166,1211640911691235752,20240905174946,429814742,2.0,6.0,52.36534,4.9422,2.0,1.0,1.0,1.0,168.0,2.0,28,2.0,28.0,65.0,3.0,3,3,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1.0,1.0,0.0,0.0
4167,931971513314954289,20240905174946,1174565,1.0,1.0,52.3619212,4.8619424,4.0,2.0,3.0,4.0,448.0,6.0,25,6.0,25.0,65.0,0.0,0,10,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
4168,712830214215451184,20240905174946,56240886,1.0,1.0,52.36372,4.9382,2.0,1.0,1.0,1.0,184.0,2.0,9,2.0,9.0,65.0,15.0,70,345,5.0,4.8,4.6,4.6,5.0,5.0,4.8,4.4,1.0,1.0,0.0,0.0
4169,949152548491765999,20240905174946,484535538,2.2,3.1,52.33786,4.86892,2.0,1.0,1.0,1.0,289.6,1.0,1125,1.1,889.8,65.0,6.0,45,315,3.0,5.0,4.67,4.67,4.9,5.0,4.67,4.33,9.0,0.0,0.0,0.0
4170,949165654700072626,20240905174946,484535538,2.2,3.1,52.33822957542801,4.8691121281263126,2.0,1.0,1.0,1.0,289.6,1.0,1125,1.1,889.8,65.0,6.0,45,315,2.0,4.9,4.9,4.8,5.0,4.9,4.5,4.7,9.0,0.0,0.0,0.0
4171,1211394747122585993,20240905174946,149227612,1.0,1.0,52.36350880866362,4.871768330315275,2.0,1.0,1.0,1.0,289.6,3.0,365,3.0,365.0,65.0,1.0,1,1,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
4172,1211585087743053516,20240905174946,7233652,2.0,3.0,52.36805616312528,4.857441727623434,2.0,1.0,1.0,1.0,289.6,3.0,365,3.0,365.0,65.0,2.0,2,2,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
4173,50435642,20240905174946,407472735,9.0,11.0,52.32218,4.882,2.0,1.0,0.0,1.0,109.0,1.0,1125,1.0,1125.0,65.0,20.0,79,169,87.0,4.7,4.72,4.85,4.7,4.59,4.8,4.45,5.0,4.0,1.0,0.0
4174,1216439047693342660,20240905174946,276344720,1.0,1.0,52.37115,4.86008,4.0,1.0,3.0,1.0,289.6,3.0,8,3.0,8.0,65.0,0.0,6,6,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
4175,649074843359124203,20240905174946,464101068,2.0,2.0,52.36722,4.88399,2.0,1.0,1.0,1.0,146.0,1.0,365,1.0,1125.0,65.0,6.0,50,140,210.0,4.85,4.88,4.73,4.96,4.96,4.98,4.73,2.0,0.0,2.0,0.0
4176,1216571149630361021,20240905174946,126643561,1.0,2.0,52.37651467376398,4.883394856059184,4.0,1.0,2.0,1.0,289.6,3.0,3,3.0,3.0,65.0,0.0,0,0,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
4177,630092076020079689,20240905174946,127813196,1.0,7.0,52.36038,4.86977,4.0,1.0,2.0,1.0,289.6,1.0,10,1.0,10.0,65.0,0.0,0,0,26.0,5.0,4.96,4.92,4.85,4.96,4.92,4.85,1.0,1.0,0.0,0.0
4178,949167386077737744,20240905174946,484535538,2.2,3.1,52.33713,4.86893,2.0,1.0,1.0,1.0,289.6,1.0,1125,1.1,783.6,65.0,16.0,75,344,1.0,4.9,4.9,4.0,4.9,4.9,5.0,4.0,9.0,0.0,0.0,0.0
4179,1036111936916745796,20240905174946,6117365,1.0,1.0,52.39237,4.90417,4.0,1.5,3.0,2.0,200.0,3.0,1125,3.0,1125.0,65.0,4.0,4,39,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
4180,949168302521214062,20240905174946,484535538,2.2,3.1,52.33657595474142,4.867681092637826,4.0,1.0,2.0,1.0,289.6,1.0,1125,1.1,806.4,65.0,10.0,67,336,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,9.0,0.0,0.0,0.0
4181,22757307,20240905174946,11538527,1.0,1.0,52.3918,4.93098,4.0,1.0,1.0,2.0,150.0,2.0,1125,2.0,1125.0,65.0,2.0,39,281,264.0,4.97,4.96,4.97,4.98,4.98,4.77,4.86,1.0,0.0,1.0,0.0
4182,1169534152726633670,20240905174946,49920212,1.0,1.0,52.3557915,4.9037356,4.0,2.0,3.0,3.0,600.0,1.0,30,3.9,30.0,65.0,0.0,0,260,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
4183,718616204018680385,20240905174946,16898219,3.0,5.0,52.33523,4.9007,2.0,1.0,1.0,2.0,156.0,2.0,35,2.0,35.0,65.0,18.0,18,18,23.0,4.78,4.91,4.96,4.83,4.83,4.78,4.61,2.0,0.0,2.0,0.0
